char,codepoint,glyph_id_hex,glyph_id_decimal
^,U+005E,0x0200,512
Σ,U+03A3,0x0201,513
Ω,U+03A9,0x0202,514
Ⅱ,U+2161,0x0203,515
∞,U+221E,0x0204,516
≪,U+226A,0x0205,517
≫,U+226B,0x0206,518
々,U+3005,0x0207,519
ヴ,U+30F4,0x0208,520
・,U+30FB,0x0209,521
一,U+4E00,0x020A,522
万,U+4E07,0x020B,523
三,U+4E09,0x020C,524
上,U+4E0A,0x020D,525
下,U+4E0B,0x020E,526
世,U+4E16,0x020F,527
両,U+4E21,0x0210,528
丸,U+4E38,0x0211,529
之,U+4E4B,0x0212,530
乗,U+4E57,0x0213,531
九,U+4E5D,0x0214,532
乱,U+4E71,0x0215,533
乾,U+4E7E,0x0216,534
二,U+4E8C,0x0217,535
亜,U+4E9C,0x0218,536
人,U+4EBA,0x0219,537
付,U+4ED8,0x021A,538
仰,U+4EF0,0x021B,539
伍,U+4F0D,0x021C,540
伐,U+4F10,0x021D,541
伝,U+4F1D,0x021E,542
伸,U+4F38,0x021F,543
低,U+4F4E,0x0220,544
体,U+4F53,0x0221,545
供,U+4F9B,0x0222,546
価,U+4FA1,0x0223,547
修,U+4FEE,0x0224,548
倒,U+5012,0x0225,549
偃,U+5043,0x0226,550
儀,U+5100,0x0227,551
光,U+5149,0x0228,552
免,U+514D,0x0229,553
兎,U+514E,0x022A,554
兜,U+515C,0x022B,555
入,U+5165,0x022C,556
八,U+516B,0x022D,557
六,U+516D,0x022E,558
円,U+5186,0x022F,559
冥,U+51A5,0x0230,560
冰,U+51B0,0x0231,561
冲,U+51B2,0x0232,562
凍,U+51CD,0x0233,563
凶,U+51F6,0x0234,564
刀,U+5200,0x0235,565
刃,U+5203,0x0236,566
分,U+5206,0x0237,567
切,U+5207,0x0238,568
初,U+521D,0x0239,569
判,U+5224,0x023A,570
利,U+5229,0x023B,571
制,U+5236,0x023C,572
刻,U+523B,0x023D,573
剛,U+525B,0x023E,574
剣,U+5263,0x023F,575
割,U+5272,0x0240,576
劈,U+5288,0x0241,577
劉,U+5289,0x0242,578
力,U+529B,0x0243,579
助,U+52A9,0x0244,580
勇,U+52C7,0x0245,581
動,U+52D5,0x0246,582
勢,U+52E2,0x0247,583
十,U+5341,0x0248,584
千,U+5343,0x0249,585
博,U+535A,0x024A,586
原,U+539F,0x024B,587
厳,U+53B3,0x024C,588
参,U+53C2,0x024D,589
友,U+53CB,0x024E,590
双,U+53CC,0x024F,591
叢,U+53E2,0x0250,592
叩,U+53E9,0x0251,593
召,U+53EC,0x0252,594
叭,U+53ED,0x0253,595
台,U+53F0,0x0254,596
右,U+53F3,0x0255,597
合,U+5408,0x0256,598
吐,U+5410,0x0257,599
吹,U+5439,0x0258,600
吼,U+543C,0x0259,601
呪,U+546A,0x025A,602
呼,U+547C,0x025B,603
咆,U+5486,0x025C,604
咒,U+5492,0x025D,605
咬,U+54AC,0x025E,606
哀,U+54C0,0x025F,607
哭,U+54ED,0x0260,608
哮,U+54EE,0x0261,609
唐,U+5510,0x0262,610
善,U+5584,0x0263,611
喇,U+5587,0x0264,612
喪,U+55AA,0x0265,613
喰,U+55B0,0x0266,614
噛,U+565B,0x0267,615
四,U+56DB,0x0268,616
回,U+56DE,0x0269,617
圏,U+570F,0x026A,618
土,U+571F,0x026B,619
地,U+5730,0x026C,620
坤,U+5764,0x026D,621
型,U+578B,0x026E,622
堀,U+5800,0x026F,623
堕,U+5815,0x0270,624
塵,U+5875,0x0271,625
墜,U+589C,0x0272,626
墨,U+58A8,0x0273,627
壁,U+58C1,0x0274,628
壊,U+58CA,0x0275,629
士,U+58EB,0x0276,630
壱,U+58F1,0x0277,631
変,U+5909,0x0278,632
夜,U+591C,0x0279,633
