char,codepoint,glyph_id_hex,glyph_id_decimal
夢,U+5922,0x027A,634
大,U+5927,0x027B,635
天,U+5929,0x027C,636
太,U+592A,0x027D,637
失,U+5931,0x027E,638
女,U+5973,0x027F,639
妖,U+5996,0x0280,640
姫,U+59EB,0x0281,641
姿,U+59FF,0x0282,642
子,U+5B50,0x0283,643
字,U+5B57,0x0284,644
孤,U+5B64,0x0285,645
宇,U+5B87,0x0286,646
守,U+5B88,0x0287,647
定,U+5B9A,0x0288,648
対,U+5BFE,0x0289,649
封,U+5C01,0x028A,650
射,U+5C04,0x028B,651
尊,U+5C0A,0x028C,652
小,U+5C0F,0x028D,653
尖,U+5C16,0x028E,654
居,U+5C45,0x028F,655
岩,U+5CA9,0x0290,656
崩,U+5D29,0x0291,657
嵐,U+5D50,0x0292,658
巌,U+5DCC,0x0293,659
左,U+5DE6,0x0294,660
巨,U+5DE8,0x0295,661
巫,U+5DEB,0x0296,662
己,U+5DF1,0x0297,663
巻,U+5DFB,0x0298,664
布,U+5E03,0x0299,665
帝,U+5E1D,0x029A,666
帯,U+5E2F,0x029B,667
幕,U+5E55,0x029C,668
年,U+5E74,0x029D,669
幻,U+5E7B,0x029E,670
幽,U+5E7D,0x029F,671
度,U+5EA6,0x02A0,672
建,U+5EFA,0x02A1,673
廻,U+5EFB,0x02A2,674
弐,U+5F10,0x02A3,675
弗,U+5F17,0x02A4,676
張,U+5F35,0x02A5,677
強,U+5F37,0x02A6,678
弾,U+5F3E,0x02A7,679
当,U+5F53,0x02A8,680
影,U+5F71,0x02A9,681
得,U+5F97,0x02AA,682
御,U+5FA1,0x02AB,683
復,U+5FA9,0x02AC,684
徹,U+5FB9,0x02AD,685
心,U+5FC3,0x02AE,686
応,U+5FDC,0x02AF,687
念,U+5FF5,0x02B0,688
怒,U+6012,0x02B1,689
怠,U+6020,0x02B2,690
急,U+6025,0x02B3,691
性,U+6027,0x02B4,692
怨,U+6028,0x02B5,693
息,U+606F,0x02B6,694
悟,U+609F,0x02B7,695
悪,U+60AA,0x02B8,696
情,U+60C5,0x02B9,697
愚,U+611A,0x02BA,698
愛,U+611B,0x02BB,699
成,U+6210,0x02BC,700
戒,U+6212,0x02BD,701
戟,U+621F,0x02BE,702
戦,U+6226,0x02BF,703
截,U+622A,0x02C0,704
戸,U+6238,0x02C1,705
戻,U+623B,0x02C2,706
扇,U+6247,0x02C3,707
手,U+624B,0x02C4,708
打,U+6253,0x02C5,709
技,U+6280,0x02C6,710
投,U+6295,0x02C7,711
抗,U+6297,0x02C8,712
招,U+62DB,0x02C9,713
拳,U+62F3,0x02CA,714
振,U+632F,0x02CB,715
捨,U+6368,0x02CC,716
掌,U+638C,0x02CD,717
摧,U+6467,0x02CE,718
撃,U+6483,0x02CF,719
擬,U+64EC,0x02D0,720
改,U+6539,0x02D1,721
攻,U+653B,0x02D2,722
敗,U+6557,0x02D3,723
敢,U+6562,0x02D4,724
敵,U+6575,0x02D5,725
文,U+6587,0x02D6,726
斉,U+6589,0x02D7,727
斗,U+6597,0x02D8,728
斧,U+65A7,0x02D9,729
斬,U+65AC,0x02DA,730
断,U+65AD,0x02DB,731
旋,U+65CB,0x02DC,732
日,U+65E5,0x02DD,733
昂,U+6602,0x02DE,734
昇,U+6607,0x02DF,735
明,U+660E,0x02E0,736
星,U+661F,0x02E1,737
春,U+6625,0x02E2,738
時,U+6642,0x02E3,739
晦,U+6666,0x02E4,740
晴,U+6674,0x02E5,741
暁,U+6681,0x02E6,742
暗,U+6697,0x02E7,743
暴,U+66B4,0x02E8,744
曲,U+66F2,0x02E9,745
曼,U+66FC,0x02EA,746
最,U+6700,0x02EB,747
月,U+6708,0x02EC,748
期,U+671F,0x02ED,749
本,U+672C,0x02EE,750
札,U+672D,0x02EF,751
杖,U+6756,0x02F0,752
杜,U+675C,0x02F1,753
束,U+675F,0x02F2,754
条,U+6761,0x02F3,755
来,U+6765,0x02F4,756
枚,U+679A,0x02F5,757
架,U+67B6,0x02F6,758
染,U+67D3,0x02F7,759
柔,U+67D4,0x02F8,760
桜,U+685C,0x02F9,761
梵,U+68B5,0x02FA,762
棍,U+68CD,0x02FB,763
棒,U+68D2,0x02FC,764
植,U+690D,0x02FD,765
楔,U+6954,0x02FE,766
業,U+696D,0x02FF,767
極,U+6975,0x0300,768
楽,U+697D,0x0301,769
槍,U+69CD,0x0302,770
横,U+6A2A,0x0303,771
橙,U+6A59,0x0304,772
機,U+6A5F,0x0305,773
檮,U+6AAE,0x0306,774
正,U+6B63,0x0307,775
此,U+6B64,0x0308,776
武,U+6B66,0x0309,777
殲,U+6BB2,0x030A,778
殺,U+6BBA,0x030B,779
毀,U+6BC0,0x030C,780
毒,U+6BD2,0x030D,781
毘,U+6BD8,0x030E,782
毬,U+6BEC,0x030F,783
気,U+6C17,0x0310,784
水,U+6C34,0x0311,785
氷,U+6C37,0x0312,786
永,U+6C38,0x0313,787
沌,U+6C8C,0x0314,788
沙,U+6C99,0x0315,789
河,U+6CB3,0x0316,790
泉,U+6CC9,0x0317,791
法,U+6CD5,0x0318,792
泡,U+6CE1,0x0319,793
波,U+6CE2,0x031A,794
泿,U+6CFF,0x031B,795
流,U+6D41,0x031C,796
浄,U+6D44,0x031D,797
浪,U+6D6A,0x031E,798
海,U+6D77,0x031F,799
涛,U+6D9B,0x0320,800
液,U+6DB2,0x0321,801
深,U+6DF1,0x0322,802
淵,U+6DF5,0x0323,803
清,U+6E05,0x0324,804
渦,U+6E26,0x0325,805
渾,U+6E3E,0x0326,806
湯,U+6E6F,0x0327,807
溶,U+6EB6,0x0328,808
滄,U+6EC4,0x0329,809
滅,U+6EC5,0x032A,810
滝,U+6EDD,0x032B,811
漢,U+6F22,0x032C,812
漸,U+6F38,0x032D,813
潮,U+6F6E,0x032E,814
激,U+6FC0,0x032F,815
濤,U+6FE4,0x0330,816
瀑,U+7011,0x0331,817
瀬,U+702C,0x0332,818
火,U+706B,0x0333,819
灰,U+7070,0x0334,820
灸,U+7078,0x0335,821
灼,U+707C,0x0336,822
災,U+707D,0x0337,823
炎,U+708E,0x0338,824
炮,U+70AE,0x0339,825
炸,U+70B8,0x033A,826
烈,U+70C8,0x033B,827
烏,U+70CF,0x033C,828
焔,U+7114,0x033D,829
無,U+7121,0x033E,830
焼,U+713C,0x033F,831
煉,U+7149,0x0340,832
煌,U+714C,0x0341,833
照,U+7167,0x0342,834
熊,U+718A,0x0343,835
熟,U+719F,0x0344,836
熱,U+71B1,0x0345,837
燐,U+71D0,0x0346,838
燕,U+71D5,0x0347,839
爆,U+7206,0x0348,840
爪,U+722A,0x0349,841
父,U+7236,0x034A,842
片,U+7247,0x034B,843
版,U+7248,0x034C,844
牙,U+7259,0x034D,845
物,U+7269,0x034E,846
特,U+7279,0x034F,847
犬,U+72AC,0x0350,848
狐,U+72D0,0x0351,849
狛,U+72DB,0x0352,850
独,U+72EC,0x0353,851
狼,U+72FC,0x0354,852
猛,U+731B,0x0355,853
献,U+732E,0x0356,854
猿,U+733F,0x0357,855
獄,U+7344,0x0358,856
獅,U+7345,0x0359,857
獣,U+7363,0x035A,858
獲,U+7372,0x035B,859
玄,U+7384,0x035C,860
玉,U+7389,0x035D,861
王,U+738B,0x035E,862
玲,U+73B2,0x035F,863
玻,U+73BB,0x0360,864
珠,U+73E0,0x0361,865
現,U+73FE,0x0362,866
球,U+7403,0x0363,867
理,U+7406,0x0364,868
琉,U+7409,0x0365,869
璃,U+7483,0x0366,870
瓢,U+74E2,0x0367,871
甕,U+7515,0x0368,872
生,U+751F,0x0369,873
用,U+7528,0x036A,874
甲,U+7532,0x036B,875
界,U+754C,0x036C,876
疾,U+75BE,0x036D,877
痕,U+75D5,0x036E,878
癒,U+7652,0x036F,879
癪,U+766A,0x0370,880
白,U+767D,0x0371,881
皓,U+7693,0x0372,882
相,U+76F8,0x0373,883
盾,U+76FE,0x0374,884
眉,U+7709,0x0375,885
真,U+771F,0x0376,886
眼,U+773C,0x0377,887
着,U+7740,0x0378,888
睛,U+775B,0x0379,889
瞬,U+77AC,0x037A,890
瞳,U+77B3,0x037B,891
矢,U+77E2,0x037C,892
石,U+77F3,0x037D,893
砂,U+7802,0x037E,894
砍,U+780D,0x037F,895
砕,U+7815,0x0380,896
砲,U+7832,0x0381,897
破,U+7834,0x0382,898
碎,U+788E,0x0383,899
磨,U+78E8,0x0384,900
礫,U+792B,0x0385,901
祓,U+7953,0x0386,902
神,U+795E,0x0387,903
禁,U+7981,0x0388,904
禍,U+798D,0x0389,905
秘,U+79D8,0x038A,906
種,U+7A2E,0x038B,907
穢,U+7A62,0x038C,908
究,U+7A76,0x038D,909
空,U+7A7A,0x038E,910
突,U+7A81,0x038F,911
窮,U+7AAE,0x0390,912
竜,U+7ADC,0x0391,913
竹,U+7AF9,0x0392,914
笠,U+7B20,0x0393,915
第,U+7B2C,0x0394,916
筆,U+7B46,0x0395,917
箪,U+7BAA,0x0396,918
籠,U+7C60,0x0397,919
粒,U+7C92,0x0398,920
粘,U+7C98,0x0399,921
糸,U+7CF8,0x039A,922
紅,U+7D05,0x039B,923
紋,U+7D0B,0x039C,924
紐,U+7D10,0x039D,925
索,U+7D22,0x039E,926
紫,U+7D2B,0x039F,927
終,U+7D42,0x03A0,928
絆,U+7D46,0x03A1,929
経,U+7D4C,0x03A2,930
結,U+7D50,0x03A3,931
絡,U+7D61,0x03A4,932
絲,U+7D72,0x03A5,933
絶,U+7D76,0x03A6,934
綱,U+7DB1,0x03A7,935
緑,U+7DD1,0x03A8,936
締,U+7DE0,0x03A9,937
編,U+7DE8,0x03AA,938
縁,U+7E01,0x03AB,939
縛,U+7E1B,0x03AC,940
縦,U+7E26,0x03AD,941
縮,U+7E2E,0x03AE,942
繰,U+7E70,0x03AF,943
纏,U+7E8F,0x03B0,944
罪,U+7F6A,0x03B1,945
羅,U+7F85,0x03B2,946
羽,U+7FBD,0x03B3,947
翔,U+7FD4,0x03B4,948
翼,U+7FFC,0x03B5,949
聖,U+8056,0x03B6,950
肉,U+8089,0x03B7,951
胎,U+80CE,0x03B8,952
胡,U+80E1,0x03B9,953
腐,U+8150,0x03BA,954
臥,U+81E5,0x03BB,955
自,U+81EA,0x03BC,956
舎,U+820E,0x03BD,957
舞,U+821E,0x03BE,958
色,U+8272,0x03BF,959
艶,U+8276,0x03C0,960
芯,U+82AF,0x03C1,961
花,U+82B1,0x03C2,962
苦,U+82E6,0x03C3,963
草,U+8349,0x03C4,964
荼,U+837C,0x03C5,965
菊,U+83CA,0x03C6,966
華,U+83EF,0x03C7,967
落,U+843D,0x03C8,968
葉,U+8449,0x03C9,969
葬,U+846C,0x03CA,970
蒼,U+84BC,0x03CB,971
蓮,U+84EE,0x03CC,972
蔵,U+8535,0x03CD,973
薙,U+8599,0x03CE,974
薬,U+85AC,0x03CF,975
藻,U+85FB,0x03D0,976
虚,U+865A,0x03D1,977
虞,U+865E,0x03D2,978
號,U+865F,0x03D3,979
蛛,U+86DB,0x03D4,980
蛟,U+86DF,0x03D5,981
蛾,U+86FE,0x03D6,982
蜂,U+8702,0x03D7,983
蜘,U+8718,0x03D8,984
蝶,U+8776,0x03D9,985
螺,U+87BA,0x03DA,986
血,U+8840,0x03DB,987
術,U+8853,0x03DC,988
衝,U+885D,0x03DD,989
裁,U+88C1,0x03DE,990
裂,U+88C2,0x03DF,991
装,U+88C5,0x03E0,992
裏,U+88CF,0x03E1,993
襲,U+8972,0x03E2,994
覇,U+8987,0x03E3,995
覚,U+899A,0x03E4,996
親,U+89AA,0x03E5,997
角,U+89D2,0x03E6,998
觔,U+89D4,0x03E7,999
言,U+8A00,0x03E8,1000
評,U+8A55,0x03E9,1001
詰,U+8A70,0x03EA,1002
誕,U+8A95,0x03EB,1003
語,U+8A9E,0x03EC,1004
謐,U+8B10,0x03ED,1005
護,U+8B77,0x03EE,1006
豚,U+8C5A,0x03EF,1007
象,U+8C61,0x03F0,1008
豪,U+8C6A,0x03F1,1009
貪,U+8CAA,0x03F2,1010
貫,U+8CAB,0x03F3,1011
赤,U+8D64,0x03F4,1012
超,U+8D85,0x03F5,1013
足,U+8DB3,0x03F6,1014
路,U+8DEF,0x03F7,1015
踊,U+8E0A,0x03F8,1016
踵,U+8E35,0x03F9,1017
蹄,U+8E44,0x03FA,1018
蹴,U+8E74,0x03FB,1019
身,U+8EAB,0x03FC,1020
車,U+8ECA,0x03FD,1021
軍,U+8ECD,0x03FE,1022
転,U+8EE2,0x03FF,1023
輪,U+8F2A,0x0400,1024
轍,U+8F4D,0x0401,1025
轟,U+8F5F,0x0402,1026
込,U+8FBC,0x0403,1027
迅,U+8FC5,0x0404,1028
迎,U+8FCE,0x0405,1029
返,U+8FD4,0x0406,1030
迦,U+8FE6,0x0407,1031
逃,U+9003,0x0408,1032
逆,U+9006,0x0409,1033
速,U+901F,0x040A,1034
連,U+9023,0x040B,1035
進,U+9032,0x040C,1036
逸,U+9038,0x040D,1037
遁,U+9041,0x040E,1038
遍,U+904D,0x040F,1039
道,U+9053,0x0410,1040
達,U+9054,0x0411,1041
邪,U+90AA,0x0412,1042
都,U+90FD,0x0413,1043
酒,U+9152,0x0414,1044
酸,U+9178,0x0415,1045
醒,U+9192,0x0416,1046
重,U+91CD,0x0417,1047
金,U+91D1,0x0418,1048
鉄,U+9244,0x0419,1049
鉢,U+9262,0x041A,1050
銀,U+9280,0x041B,1051
銃,U+9283,0x041C,1052
鎧,U+93A7,0x041D,1053
鏡,U+93E1,0x041E,1054
門,U+9580,0x041F,1055
閃,U+9583,0x0420,1056
閻,U+95BB,0x0421,1057
闇,U+95C7,0x0422,1058
闘,U+95D8,0x0423,1059
阿,U+963F,0x0424,1060
降,U+964D,0x0425,1061
限,U+9650,0x0426,1062
陣,U+9663,0x0427,1063
陰,U+9670,0x0428,1064
隠,U+96A0,0x0429,1065
雅,U+96C5,0x042A,1066
雨,U+96E8,0x042B,1067
雪,U+96EA,0x042C,1068
雲,U+96F2,0x042D,1069
零,U+96F6,0x042E,1070
雷,U+96F7,0x042F,1071
電,U+96FB,0x0430,1072
霊,U+970A,0x0431,1073
霞,U+971E,0x0432,1074
霧,U+9727,0x0433,1075
青,U+9752,0x0434,1076
静,U+9759,0x0435,1077
面,U+9762,0x0436,1078
鞭,U+97AD,0x0437,1079
音,U+97F3,0x0438,1080
響,U+97FF,0x0439,1081
頭,U+982D,0x043A,1082
顕,U+9855,0x043B,1083
風,U+98A8,0x043C,1084
颪,U+98AA,0x043D,1085
飛,U+98DB,0x043E,1086
飢,U+98E2,0x043F,1087
飯,U+98EF,0x0440,1088
飲,U+98F2,0x0441,1089
餓,U+9913,0x0442,1090
饕,U+9955,0x0443,1091
首,U+9996,0x0444,1092
香,U+9999,0x0445,1093
馬,U+99AC,0x0446,1094
馳,U+99B3,0x0447,1095
駆,U+99C6,0x0448,1096
騎,U+9A0E,0x0449,1097
骨,U+9AA8,0x044A,1098
骸,U+9AB8,0x044B,1099
髏,U+9ACF,0x044C,1100
髑,U+9AD1,0x044D,1101
高,U+9AD8,0x044E,1102
髪,U+9AEA,0x044F,1103
鬧,U+9B27,0x0450,1104
鬼,U+9B3C,0x0451,1105
魂,U+9B42,0x0452,1106
魄,U+9B44,0x0453,1107
魅,U+9B45,0x0454,1108
魔,U+9B54,0x0455,1109
魚,U+9B5A,0x0456,1110
鳥,U+9CE5,0x0457,1111
鳴,U+9CF4,0x0458,1112
鷹,U+9DF9,0x0459,1113
鹹,U+9E79,0x045A,1114
麁,U+9E81,0x045B,1115
黄,U+9EC4,0x045C,1116
黏,U+9ECF,0x045D,1117
黒,U+9ED2,0x045E,1118
鼓,U+9F13,0x045F,1119
龍,U+9F8D,0x0460,1120
＆,U+FF06,0x0461,1121
（,U+FF08,0x0462,1122
）,U+FF09,0x0463,1123
＋,U+FF0B,0x0464,1124
－,U+FF0D,0x0465,1125
０,U+FF10,0x0466,1126
１,U+FF11,0x0467,1127
２,U+FF12,0x0468,1128
３,U+FF13,0x0469,1129
６,U+FF16,0x046A,1130
７,U+FF17,0x046B,1131
８,U+FF18,0x046C,1132
９,U+FF19,0x046D,1133
：,U+FF1A,0x046E,1134
＝,U+FF1D,0x046F,1135
Ｂ,U+FF22,0x0470,1136
Ｃ,U+FF23,0x0471,1137
Ｄ,U+FF24,0x0472,1138
Ｅ,U+FF25,0x0473,1139
Ｇ,U+FF27,0x0474,1140
Ｊ,U+FF2A,0x0475,1141
Ｌ,U+FF2C,0x0476,1142
Ｍ,U+FF2D,0x0477,1143
Ｏ,U+FF2F,0x0478,1144
Ｒ,U+FF32,0x0479,1145
Ｕ,U+FF35,0x047A,1146
Ｖ,U+FF36,0x047B,1147
Ｘ,U+FF38,0x047C,1148
Ｙ,U+FF39,0x047D,1149
Ｚ,U+FF3A,0x047E,1150
＿,U+FF3F,0x047F,1151
～,U+FF5E,0x0480,1152
￥,U+FFE5,0x0481,1153
